nickname,lineage
DSL,"['20110724_214503_r2_1_DSL', '20110725_211535_r2_1_NAU', '20110726_100909_r1_1_MXT', '20110727_094038_r1_11_CAI']"
SBK,"['20110726_213437_r1_8_SBK', '20110727_094038_r1_9_HUY']"
MJY,"['20111125_213329_r2_3_MJY', '20111126_111100_r2_3_GVL', '20111127_104143_r2_2_OAI', '20111128_214547_r2_2_NGH']"
SWX,"['20111204_211746_r1_2_SWX', '20111205_214053_r2_2_OYA', '20111207_105006_r2_2_PVU', '20111210_110242_r2_3_GIJ', '20111211_103320_r2_1_UTQ']"
UKL,"['20111204_211746_r1_4_UKL', '20111205_214053_r2_3_ALY', '20111207_105006_r2_3_FTO', '20111210_110242_r2_4_FDL', '20111211_103320_r2_2_JDC', '20111212_213648_r2_3_QSS', '20111213_111542_r2_0_KIE', '20111214_104558_r2_0_YGP', '20111217_105831_r2_1_ILJ', '20111218_102917_r2_0_DBT', '20111218_220240_r2_0_GVZ', '20111220_111132_r2_1_IZS', '20111221_104145_r2_2_FRC', '20111224_105412_r2_1_KOC', '20111225_102507_r2_0_URZ', '20111225_215841_r2_0_WBR', '20111227_110652_r2_2_XMS', '20111228_103739_r2_0_VVY', '20111229_214149_r2_1_BJS', '20111231_105010_r2_1_DEI', '20120102_212455_r2_4_ICZ', '20120103_110253_r2_3_WCI']"
NIZ,"['20111204_221223_r2_3_NIZ', '20111206_111923_r2_0_YCA', '20111210_110242_r2_0_SLN', '20111211_220808_r2_5_LOK', '20111216_112743_r2_1_COH', '20111217_105831_r2_0_IGK', '20111218_220346_r2_4_PAF', '20111219_114025_r2_0_EJA', '20111223_112333_r2_2_QSS', '20111225_215927_r2_0_LCO', '20111227_110652_r2_0_ZZD', '20111230_111924_r2_1_AKB']"
YMB,"['20111211_103320_r2_3_YMB', '20111213_111542_r2_3_CVW']"
ZFI,"['20111210_110242_r2_2_ZFI', '20111211_103320_r2_0_GEP', '20111212_213648_r2_1_EFD', '20111214_104558_r2_2_CRC', '20111214_212555_r1_1_QJB', '20111217_105831_r2_3_AMY', '20111218_102917_r2_1_RHY']"
YUA,"['20111217_105831_r2_6_YUA', '20111218_102917_r2_3_KSB', '20111218_220240_r2_3_AOH', '20111220_111132_r2_2_BXP', '20111221_104145_r2_3_QTF', '20111224_105412_r2_2_ZAI']"
ZDN,"['20120415_105916_r2_2_ZDN', '20120416_102911_r2_2_ABG', '20120417_213332_r2_0_DHR', '20120419_104232_r2_0_VFQ', '20120421_211634_r2_2_KRT', '20120422_105507_r2_2_BCG', '20120423_102550_r2_2_DIY', '20120424_212839_r2_2_RPY', '20120427_214148_r2_1_MWD', '20120429_105057_r2_1_LPC', '20120503_103343_r2_1_AFG', '20120506_104614_r2_5_JTV', '20120508_212007_r2_3_EAW', '20120510_102929_r2_0_IRZ', '20120512_111103_r2_0_QOJ', '20120513_104151_r2_0_ZHB', '20120515_211652_r2_0_LOC', '20120516_105434_r2_0_RYH', '20120517_102518_r2_0_HXS', '20120519_110657_r2_2_DMS', '20120520_103751_r2_2_DHF', '20120523_105024_r2_3_CVD', '20120527_103338_r2_1_EKG', '20120530_104609_r2_1_QVK', '20120603_102916_r2_1_CDD', '20120603_220247_r2_1_RZC', '20120606_104146_r2_1_YBC', '20120608_211658_r2_1_QQO', '20120609_105419_r2_1_CIF', '20120610_102515_r2_0_ZDB', '20120611_212906_r2_0_MKD', '20120613_103737_r2_0_SCT', '20120614_214159_r2_0_IYZ', '20120616_105008_r2_3_MZM', '20120617_215422_r2_2_VIA', '20120620_103325_r2_2_EOJ', '20120623_104556_r2_2_PBU', '20120624_215011_r2_2_EFD', '20120626_105830_r2_6_IRX', '20120627_102915_r2_5_BTB', '20120630_104146_r2_1_LBL', '20120701_214556_r2_2_CLP', '20120702_211647_r2_0_CUH', '20120703_105418_r2_0_SDO', '20120704_102505_r2_0_ZHE', '20120705_212917_r2_0_TEI', '20120706_110651_r2_0_YEQ', '20120707_103735_r2_0_MNP', '20120708_214056_r2_2_FQA', '20120711_215421_r2_2_GOL', '20120712_212431_r2_1_DSN', '20120713_110243_r2_2_LXI', '20120714_103323_r2_1_GOO', '20120715_213736_r2_3_DRO', '20120717_104556_r2_3_LXH', '20120718_214937_r2_3_IBA', '20120720_105830_r2_3_SOP', '20120721_102911_r2_0_QAU', '20120722_213235_r2_0_CHQ', '20120723_111100_r2_1_ZHM', '20120724_104150_r2_1_YYP', '20120725_214557_r2_1_SHP', '20120727_105419_r2_1_MQG']"
