nickname,lineage
UTZ,"['20130314_104641_r2_3_UTZ', '20130316_212052_r2_3_GVJ', '20130317_105829_r2_3_VWB', '20130321_104232_r2_3_TMP', '20130324_105419_r2_8_HDS', '20130328_103815_r2_5_XFS', '20130331_105008_r2_8_EFX', '20130404_103412_r2_6_PEY', '20130405_213647_r2_3_RRT', '20130406_111505_r2_4_GAN', '20130407_104557_r2_3_ENF', '20130410_105907_r2_3_HLU', '20130411_103005_r2_1_CIP', '20130413_111102_r2_1_MSI', '20130414_104145_r2_3_DRJ', '20130420_110648_r2_11_OWM', '20130421_103735_r2_3_JZE', '20130424_105055_r2_5_UHO', '20130427_110235_r2_4_XQR', '20130428_103407_r2_4_NHH', '20130501_104607_r2_6_XZU', '20130503_212112_r2_5_LRW', '20130504_105825_r2_5_EYO', '20130505_220150_r2_0_DNM', '20130508_104226_r2_2_EQW', '20130509_214505_r2_1_XAE', '20130510_211600_r2_0_KKB', '20130511_105415_r2_0_YCZ', '20130512_102505_r2_0_ERN', '20130512_215737_r2_0_XMA', '20130513_212826_r2_0_CEA', '20130515_103746_r2_2_GRR', '20130516_214055_r2_2_LSF', '20130519_215420_r2_0_SQA', '20130520_212415_r2_0_KDS', '20130522_103319_r2_2_IUQ', '20130523_213741_r2_2_KBZ', '20130525_104556_r2_2_DSZ', '20130526_214924_r2_1_LSE', '20130527_212107_r2_4_TWK', '20130529_102914_r2_0_TUN', '20130601_104139_r2_0_PBY', '20130602_214557_r2_3_ZTW', '20130604_105419_r2_5_TOD', '20130605_102601_r2_0_TUW', '20130606_212841_r2_0_EGI', '20130608_103736_r2_0_OIJ', '20130609_214158_r2_4_UHP', '20130611_105007_r2_8_PCZ', '20130612_215421_r2_3_ROL', '20130613_212431_r2_3_PGB', '20130614_110243_r2_7_DSN', '20130615_103321_r2_3_CYA', '20130616_213715_r2_7_EMV', '20130618_104556_r2_8_SIC', '20130620_212028_r2_4_WRW', '20130621_105828_r2_8_FZS', '20130622_102916_r2_1_HCJ', '20130622_220150_r2_1_UNQ', '20130623_213247_r2_3_BQJ', '20130624_111053_r2_13_BLG', '20130625_104145_r2_7_MST', '20130628_105419_r2_7_PKT', '20130629_102511_r2_0_KRS', '20130701_110651_r2_7_XLG', '20130702_103740_r2_0_XDV', '20130703_214100_r2_0_EMO', '20130705_105010_r2_6_HCW', '20130706_215421_r2_6_FWO']"
NWT,"['20130717_113835_r2_1_NWT', '20130717_213518_r2_1_KCJ', '20130718_124930_r2_4_RUE', '20130718_224725_r2_3_DMK', '20130719_122021_r2_3_ZEX', '20130719_221806_r2_3_HYN', '20130720_115106_r2_2_DPI']"
YFG,['20101106_113811_r2_18_YFG']
QYB,['20111129_211557_r2_0_QYB']
DTQ,['20120627_102915_r2_3_DTQ']
EQD,['20120819_211649_r2_1_EQD']
EMX,['20120813_105941_r2_0_EMX']
NSX,['20120909_111056_r2_4_NSX']
DYX,['20120909_111056_r2_5_DYX']
BMZ,['20120909_111056_r2_8_BMZ']
QWO,['20120909_111056_r2_6_QWO']
BPY,['20120923_110236_r2_8_BPY']
ZUP,['20101026_115942_r2_22_ZUP']
WNT,['20101106_113811_r2_22_WNT']
HSD,"['20120626_105830_r2_5_HSD', '20120627_102915_r2_4_RNV', '20120630_104146_r2_2_VNQ', '20120701_214556_r2_3_WUD', '20120702_211647_r2_1_HHX', '20120703_105418_r2_1_DLO', '20120704_102505_r2_1_ZWI', '20120705_212917_r2_1_MJV', '20120706_110651_r2_7_JNL', '20120707_103735_r2_7_YDG', '20120708_214056_r2_7_IAL', '20120711_215421_r2_5_GEO']"
VQQ,['20120923_110236_r2_9_VQQ']
DDO,['20130114_110652_r2_12_DDO']
UHW,['20130114_110652_r2_18_UHW']
IIJ,"['20120918_114628_r2_14_IIJ', '20120918_214439_r2_14_GYG', '20120919_211515_r2_13_NHH', '20120920_122719_r2_66_JMM', '20120920_204622_r2_51_DVQ', '20120921_115804_r2_50_LZD', '20120921_215744_r2_19_UJO', '20120922_130952_r2_14_DBO', '20120922_212737_r2_13_ZUE', '20120923_205859_r2_16_BHS', '20120926_215855_r1_13_CGL', '20120930_123604_r2_8_MRS', '20120930_214216_r1_24_VPS', '20121007_205054_r2_22_SKR', '20121009_113321_r2_3_UZK', '20121014_122749_r2_3_TKD', '20121014_204649_r2_4_ZOV', '20121021_122339_r2_0_FJN', '20121021_212910_r1_9_LBW', '20121028_203803_r2_0_EWE', '20121103_215024_r1_19_OTK', '20121104_121517_r2_9_BGE', '20121110_124018_r2_11_EMQ', '20121111_121107_r2_11_KGS', '20121118_120653_r2_10_OWK', '20121125_220204_r2_8_XBW', '20121202_115829_r2_8_IKR', '20121202_215654_r2_15_WVF', '20121209_215312_r2_10_QFY', '20121216_115007_r2_8_LIX', '20121216_214909_r2_8_ZOX', '20121223_214523_r2_4_SVB', '20121229_121118_r2_4_YLT', '20130105_220620_r2_0_GKP', '20130106_213629_r2_1_ZNF', '20130113_113326_r2_0_QPH', '20130120_130948_r2_6_UVK', '20130120_212803_r2_6_JOY', '20130127_130546_r2_7_SRY', '20130204_123212_r2_8_OOQ', '20130205_120309_r2_9_YVO', '20130216_214040_r2_10_UFP', '20130217_125235_r2_11_BHA', '20130309_130856_r2_3_WIO', '20130309_212832_r2_3_ZCD', '20130310_124043_r2_3_GQM', '20130310_205845_r2_3_YCW', '20130312_214029_r2_6_URF', '20130316_130501_r2_2_THH', '20130317_123556_r2_3_HIX', '20130317_205503_r2_3_NMO', '20130323_130115_r2_3_LCH', '20130324_123127_r2_0_OFL', '20130324_205051_r2_3_LDQ', '20130326_213204_r2_9_PQR', '20130330_125702_r2_3_MNT', '20130331_122758_r2_3_BYX', '20130331_204641_r2_3_QPM', '20130403_123937_r2_0_QRR', '20130405_214032_r2_10_VEE', '20130406_211113_r2_6_IHD', '20130407_204233_r2_8_PSL', '20130409_112514_r2_4_OEU', '20130409_130448_r2_3_ITA', '20130411_220618_r2_0_TJR', '20130414_121915_r2_0_DEK', '20130414_203826_r2_0_RCA', '20130416_130136_r2_3_EHG', '20130417_123216_r2_3_SXF', '20130420_124421_r2_3_SFD', '20130421_121505_r2_3_LBD', '20130421_203409_r2_3_RBU', '20130423_125721_r2_7_DXA', '20130424_122805_r2_7_JMQ', '20130427_123958_r2_6_NMC', '20130428_203006_r2_5_ILD', '20130501_122259_r2_2_AKI', '20130505_120654_r2_6_SKX', '20130505_220535_r2_12_JHI', '20130508_121847_r2_0_XVS', '20130512_120247_r2_0_VKX', '20130512_202140_r2_0_DXW', '20130512_220124_r2_6_EEF', '20130515_121440_r2_0_JCK', '20130519_115840_r2_6_DJB', '20130519_201732_r2_0_EUF', '20130519_215651_r2_11_GJH', '20130522_121029_r2_1_VBK', '20130526_115422_r2_5_RZQ', '20130526_201322_r2_0_OXG', '20130526_215310_r2_5_EPY', '20130529_120623_r2_2_UVI', '20130601_121949_r2_8_KLJ', '20130602_115011_r2_5_VEX', '20130602_214908_r2_5_VLM', '20130609_114600_r2_5_AIV', '20130609_214508_r2_6_CBC', '20130610_211512_r2_5_DZI', '20130616_214050_r2_6_JBW', '20130622_220538_r2_8_HHJ', '20130623_213636_r2_7_LZY', '20130630_213210_r2_12_VRF', '20130706_215737_r2_5_EWG', '20130707_212832_r2_6_QDG']"
IBK,"['20120918_114628_r2_13_IBK', '20120918_214439_r2_13_OHF', '20120919_211515_r2_12_ZIQ', '20120920_122719_r2_65_NCK', '20120920_204622_r2_50_VXI', '20120921_115804_r2_49_MSU', '20120921_215744_r2_18_MVX', '20120922_130952_r2_13_UBA', '20120922_212737_r2_12_LZW', '20120923_205859_r2_15_KOP', '20120926_215855_r1_12_XMD', '20120930_123604_r2_7_DOJ', '20120930_214216_r1_23_MYP', '20121007_205054_r2_27_MEZ', '20121009_113321_r2_5_TUE', '20121014_122749_r2_4_LVO', '20121014_204649_r2_5_GND', '20121021_122339_r2_1_CGS', '20121021_212910_r1_10_CBI', '20121028_203803_r2_1_BQS', '20121103_215024_r1_20_TXX', '20121104_121517_r2_10_MKA', '20121110_124018_r2_12_GDL', '20121111_121107_r2_12_DAZ', '20121118_120653_r2_11_ORD', '20121125_220204_r2_9_FJO', '20121202_115829_r2_9_LPW', '20121202_215654_r2_16_HQH', '20121209_215312_r2_11_BZZ', '20121216_115007_r2_9_QFA', '20121216_214909_r2_9_CJF', '20121223_214523_r2_5_LIQ', '20121229_121118_r2_5_TPW', '20130105_220620_r2_1_OLT', '20130106_213629_r2_2_WZD', '20130113_113326_r2_1_ZEZ', '20130120_130948_r2_7_MYQ', '20130120_212803_r2_7_JHL', '20130127_130546_r2_8_FZG', '20130204_123212_r2_9_PSU', '20130205_120309_r2_10_QVB', '20130216_214040_r2_11_XNX', '20130217_125235_r2_12_AYK', '20130309_130856_r2_4_OMJ', '20130309_212832_r2_4_AHR', '20130310_124043_r2_4_HQZ', '20130310_205845_r2_4_CCO', '20130312_214029_r2_7_MBF', '20130316_130501_r2_3_LYD', '20130317_123556_r2_4_DED', '20130317_205503_r2_4_BZR', '20130323_130115_r2_4_YGU', '20130324_123127_r2_1_BSA', '20130324_205051_r2_4_WIC', '20130326_213204_r2_10_ORV', '20130330_125702_r2_4_IJD', '20130331_122758_r2_4_XUH', '20130331_204641_r2_4_ABX', '20130403_123937_r2_1_RBW', '20130405_214032_r2_11_QQG', '20130406_211113_r2_7_TFD', '20130407_204233_r2_9_PIA', '20130409_112514_r2_5_BVA', '20130409_130448_r2_4_JQD', '20130411_220618_r2_1_BVQ', '20130414_121915_r2_1_NMU', '20130414_203826_r2_1_VAG', '20130416_130136_r2_4_ZLW', '20130417_123216_r2_4_TUA', '20130420_124421_r2_4_SSP', '20130421_121505_r2_4_ZLE', '20130421_203409_r2_4_ZLR', '20130423_125721_r2_8_ALW', '20130424_122805_r2_8_QVP', '20130427_123958_r2_7_YOK', '20130428_203006_r2_6_LDO', '20130501_122259_r2_3_OQD', '20130505_120654_r2_7_ZKZ', '20130505_220535_r2_13_NPX', '20130508_121847_r2_1_AYC', '20130512_120247_r2_1_PKA', '20130512_202140_r2_1_LEJ', '20130512_220124_r2_7_NDY', '20130515_121440_r2_1_XJU', '20130519_115840_r2_7_CNO', '20130519_201732_r2_1_NDD', '20130519_215651_r2_12_JNZ', '20130522_121029_r2_2_JPI', '20130526_115422_r2_6_XME', '20130526_201322_r2_1_BIZ', '20130526_215310_r2_6_YQX', '20130529_120623_r2_3_AHW', '20130601_121949_r2_9_RLU', '20130602_115011_r2_6_JMM', '20130602_214908_r2_6_XQE', '20130609_114600_r2_6_GCB', '20130609_214508_r2_7_QGA', '20130610_211512_r2_6_BTI', '20130616_214050_r2_7_YHW', '20130622_220538_r2_9_AOG', '20130623_213636_r2_8_YYU', '20130630_213210_r2_13_AML', '20130706_215737_r2_6_PST', '20130707_212832_r2_7_THV']"
TYE,"['20120930_214216_r1_20_TYE', '20121004_212457_r1_16_KUV', '20121004_221755_r2_18_WSK', '20121006_220654_r1_19_DBX', '20121007_205054_r2_36_ZJE', '20121008_120325_r2_26_QER', '20121009_113321_r2_8_ILD', '20121014_204649_r2_49_AUD', '20121020_215816_r1_2_BAS', '20121021_122339_r2_7_IRV', '20121021_212910_r1_13_ISP', '20121028_221758_r2_16_KQD', '20121030_220705_r1_10_UKX', '20121103_215024_r1_12_UOU', '20121104_121517_r2_2_HYI', '20121104_221404_r2_9_KZJ', '20121110_124018_r2_2_TKP', '20121111_121107_r2_2_RKO', '20121111_220944_r2_11_RLE', '20121118_120653_r2_1_URW', '20121202_115829_r2_14_UNN']"
OCC,"['20120924_121223_r2_3_OCC', '20120924_220906_r2_4_AOQ', '20120925_114310_r2_2_BWF', '20120925_214003_r2_3_HJL', '20120926_125407_r2_2_QVF', '20120926_215740_r1_0_GFM', '20120927_122456_r2_5_WDR', '20120927_222131_r2_5_YZY', '20120928_115539_r2_5_BDO', '20120928_215218_r2_6_UKL', '20120930_123720_r2_7_FMR', '20120930_214101_r1_2_UBO', '20120930_223340_r2_1_INP', '20121003_215410_r1_6_VUG', '20121003_224722_r2_5_GIY', '20121004_122025_r2_4_VKJ', '20121004_212457_r1_2_KHT', '20121004_221755_r2_12_UIM', '20121005_115106_r2_9_LYZ', '20121006_220654_r1_3_RPK', '20121007_123255_r2_3_JFH', '20121007_223026_r2_3_MDT']"
RCR,"['20121007_205054_r2_32_RCR', '20121008_120325_r2_17_BIS', '20121009_113321_r2_15_UAC', '20121014_204649_r2_52_UPW', '20121020_215816_r1_5_NCG', '20121021_122339_r2_10_UDK', '20121021_212910_r1_16_HPM', '20121028_221758_r2_17_WVP', '20121030_220705_r1_11_VJK', '20121103_215024_r1_13_YPU', '20121104_121517_r2_3_PFU', '20121104_221404_r2_10_DVW', '20121110_124018_r2_3_MNF', '20121111_121107_r2_3_JCV', '20121111_220944_r2_12_VOW', '20121118_120653_r2_2_RBN', '20121125_220204_r2_1_ZLN', '20121202_115829_r2_2_VOM', '20121202_215654_r2_9_TBE', '20121208_222213_r2_10_KHU', '20121209_215312_r2_4_ROC', '20121215_221835_r2_2_TGC', '20121216_115007_r2_2_XVK', '20121216_214909_r2_2_SKQ', '20121222_221357_r2_8_BRG', '20121229_121118_r2_8_PVT', '20121229_220951_r2_6_RBG', '20130105_220505_r2_9_RSS', '20130106_213629_r2_8_HID', '20130113_113326_r2_7_CEU', '20130119_215733_r2_5_UJA', '20130120_130948_r2_3_BND', '20130120_212803_r2_3_SNM', '20130126_115455_r2_3_WIQ', '20130126_215241_r2_3_BLQ', '20130127_130546_r2_3_KWO']"
WOY,"['20121007_123255_r2_7_WOY', '20121007_223026_r2_6_WYB', '20121008_120325_r2_6_BZU', '20121010_124526_r2_0_AXU', '20121010_224255_r2_0_QXN', '20121011_121616_r2_10_EKA', '20121012_114657_r2_2_KEZ', '20121013_125756_r2_1_HKL', '20121013_225526_r2_0_XTR', '20121014_122841_r2_1_BXN', '20121014_222621_r2_1_GGM', '20121015_115929_r2_1_ESJ', '20121015_215649_r2_1_APZ', '20121016_221501_r1_1_MZR', '20121017_124120_r2_5_JXR', '20121017_214537_r1_5_HGR', '20121018_121207_r2_10_WJH', '20121019_222755_r1_3_YWJ']"
RXJ,"['20121004_221755_r2_15_RXJ', '20121005_115106_r2_12_JOV', '20121006_130207_r2_6_ZIO', '20121006_220654_r1_11_SOU', '20121007_123255_r2_8_CUC', '20121007_223026_r2_7_ZRF', '20121008_120325_r2_7_PUC', '20121010_124526_r2_1_EVH', '20121010_224255_r2_1_GJI', '20121011_121616_r2_15_YTC', '20121012_114657_r2_7_CPS', '20121013_125756_r2_3_WEP', '20121013_225526_r2_2_JXY', '20121014_122841_r2_3_HXS', '20121014_222621_r2_3_HXT', '20121015_115929_r2_3_CYD', '20121015_215649_r2_3_BUQ', '20121016_221501_r1_2_FLT', '20121017_124120_r2_13_IDH']"
IJC,"['20121006_220654_r1_5_IJC', '20121007_205054_r2_30_HXL', '20121008_120325_r2_19_MTL', '20121009_113321_r2_13_RMI', '20121010_124526_r2_4_APE']"
NZK,"['20121004_212457_r1_5_NZK', '20121004_221755_r2_9_ODA', '20121005_115106_r2_6_OMY', '20121006_220654_r1_1_MFM', '20121007_123255_r2_1_ERA', '20121007_223026_r2_1_LSO', '20121008_120325_r2_1_APK', '20121009_113436_r2_1_JXB', '20121009_213208_r2_0_PHJ', '20121010_124526_r2_15_VNF', '20121011_121616_r2_9_NQR', '20121011_221406_r2_5_TRI', '20121012_114657_r2_13_XFY', '20121014_122841_r2_14_YKD', '20121014_222621_r2_11_OXX', '20121015_115929_r2_11_LDD', '20121015_215649_r2_7_TMJ', '20121016_113021_r2_1_IFJ', '20121017_124120_r2_6_BYU']"
PWQ,"['20121018_121207_r2_8_PWQ', '20121018_211631_r1_5_UUL', '20121019_114250_r2_9_BKT', '20121019_222755_r1_6_ACM', '20121020_125350_r2_8_FWJ', '20121020_215816_r1_19_SQJ', '20121021_122454_r2_8_CKM', '20121021_212910_r1_5_ZHC', '20121021_222132_r2_9_NND', '20121022_115523_r2_10_DAY', '20121022_215226_r2_7_BFA', '20121024_123709_r2_11_JMD', '20121025_120755_r2_11_UIS', '20121026_113838_r2_8_NOW', '20121027_124940_r2_8_HLL', '20121028_122028_r2_8_NLO', '20121028_221758_r2_8_ODV', '20121029_115112_r2_9_BKK', '20121030_220705_r1_6_KNG', '20121031_123259_r2_5_DMM', '20121031_213655_r1_4_GTJ', '20121031_223020_r2_3_HBI', '20121102_113453_r2_2_HFH', '20121102_221935_r1_2_WBX', '20121103_215024_r1_5_TLC', '20121104_121632_r2_4_ZNA', '20121104_221404_r2_4_WAA', '20121105_114705_r2_4_HJW', '20121108_115948_r2_4_LOA']"
XTA,"['20121021_212910_r1_24_XTA', '20121028_203803_r2_6_EMN']"
RCX,"['20121020_125350_r2_2_RCX', '20121020_215816_r1_25_KHZ', '20121021_122339_r2_16_PUS', '20121021_212910_r1_22_GJC', '20121022_115523_r2_2_TEJ', '20121024_123709_r2_4_VVW', '20121025_120755_r2_4_ZWS', '20121026_113838_r2_2_PHW', '20121027_124940_r2_2_GOH', '20121028_122028_r2_2_SFD', '20121028_221758_r2_2_FXY', '20121029_115112_r2_3_RUT', '20121030_130208_r2_1_NUG', '20121030_220705_r1_1_OGE', '20121031_123259_r2_1_YST', '20121031_223020_r2_11_FLD', '20121102_221935_r1_11_TSY', '20121103_215024_r1_10_FMO', '20121104_121517_r2_0_WCS', '20121104_221404_r2_7_WYB', '20121105_114705_r2_7_YUU', '20121110_124018_r2_0_MZN', '20121111_121107_r2_0_KXA', '20121111_220944_r2_9_KYB', '20121117_123713_r2_7_KTC', '20121117_223514_r2_1_MNL']"
JEA,"['20121025_120755_r2_1_JEA', '20121027_124940_r2_13_YFP', '20121028_122028_r2_13_AAY', '20121028_221758_r2_12_VVF', '20121030_130208_r2_2_YQQ', '20121030_220705_r1_2_GVG', '20121031_123259_r2_2_PKB', '20121031_223020_r2_10_KQV', '20121102_221935_r1_10_PSX', '20121103_124603_r2_3_EOW']"
MKA,"['20121118_120653_r2_6_MKA', '20121125_220204_r2_5_DTN', '20121202_115829_r2_5_XJQ', '20121202_215654_r2_12_JQB', '20121209_215312_r2_7_PAM', '20121216_115007_r2_5_NHO', '20121216_214909_r2_5_KRT', '20121222_221357_r2_11_ZWJ', '20121223_214523_r2_1_ADD', '20121229_121118_r2_1_ORZ', '20121229_220951_r2_1_DQZ', '20130105_220505_r2_4_UWT', '20130106_213629_r2_4_OZG', '20130113_113326_r2_3_WZD', '20130119_215733_r2_1_HRV', '20130120_212803_r2_8_LTJ', '20130126_115455_r2_6_VIQ', '20130126_215241_r2_5_GCO', '20130127_130546_r2_5_GQT', '20130202_115047_r2_5_PNQ', '20130204_123212_r2_4_MOG', '20130205_120309_r2_5_GXA', '20130209_214433_r2_7_JTT', '20130216_214040_r2_9_YNV', '20130217_125235_r2_10_HZB', '20130309_212832_r2_7_WSR', '20130310_124043_r2_6_IAF', '20130310_205845_r2_6_KJW', '20130312_214029_r2_9_APO', '20130316_130501_r2_5_QMJ', '20130317_123556_r2_6_VRJ', '20130317_205503_r2_6_TVF', '20130323_130115_r2_6_MIL', '20130324_123127_r2_3_UQW', '20130324_205051_r2_6_GHN', '20130326_213204_r2_12_WZO', '20130330_125702_r2_6_UNK', '20130331_122758_r2_6_EKD', '20130331_204641_r2_6_TXJ', '20130403_124051_r2_10_LRZ', '20130405_214032_r2_8_DZN', '20130406_211113_r2_4_MFN', '20130407_204233_r2_6_LZV', '20130409_112514_r2_2_QTZ', '20130409_130448_r2_1_HER', '20130411_220504_r2_10_ELT', '20130414_121915_r2_3_CRW', '20130414_203826_r2_3_HXF', '20130416_130136_r2_1_YVT', '20130417_123216_r2_1_JNN', '20130420_124421_r2_1_SKA', '20130421_121505_r2_1_IFS', '20130421_203409_r2_1_FNR', '20130421_221331_r2_1_JAX', '20130423_125721_r2_1_IRC', '20130424_122805_r2_1_UWL', '20130427_123958_r2_1_BZM', '20130428_203006_r2_3_DYJ', '20130428_221021_r2_1_GRP', '20130501_122413_r2_1_AMU', '20130505_120654_r2_1_ESN', '20130505_220535_r2_7_VLE', '20130508_122002_r2_7_BEE', '20130512_120247_r2_5_FFK', '20130512_220124_r2_9_ZKJ', '20130515_121555_r2_7_XQW', '20130519_115840_r2_3_EOA', '20130519_215651_r2_8_BPZ', '20130522_121144_r2_8_LHC', '20130526_115422_r2_3_RVI', '20130526_215310_r2_3_GKX', '20130529_120623_r2_1_YCS', '20130601_121949_r2_7_NEN', '20130602_115011_r2_3_ZCT', '20130602_214908_r2_3_IJY', '20130608_221328_r2_12_MZR', '20130609_114600_r2_3_KIH', '20130609_214508_r2_4_BHB', '20130610_211512_r2_3_REG', '20130615_220959_r2_4_RKY', '20130616_214050_r2_3_WMQ', '20130622_220538_r2_6_ZHU', '20130623_213636_r2_5_RGA', '20130630_213210_r2_10_SKP', '20130701_210242_r2_3_QFX', '20130702_221420_r2_3_XLI', '20130703_214445_r2_7_YGQ', '20130704_125742_r2_6_YBX', '20130704_211543_r2_3_YPM', '20130706_215737_r2_3_RNM', '20130707_212832_r2_4_CVY', '20130708_205850_r2_3_APN']"
NAE,"['20121118_120653_r2_5_NAE', '20121125_220204_r2_4_XTI', '20121202_115829_r2_4_NFT', '20121202_215654_r2_11_GXR', '20121209_215312_r2_6_EMS', '20121215_221835_r2_4_ZOB', '20121216_115007_r2_3_ZBO', '20121216_214909_r2_3_XUD', '20121222_221357_r2_9_RUW', '20121223_214523_r2_0_OZC', '20121229_121118_r2_0_QZQ', '20121229_220951_r2_0_YGY', '20130105_220505_r2_3_VPD', '20130106_213629_r2_3_HFC', '20130113_113326_r2_2_GQC', '20130119_215733_r2_0_GML', '20130120_130948_r2_0_MEN', '20130120_212803_r2_0_HAP', '20130126_115455_r2_0_SQP', '20130126_215241_r2_0_SOU', '20130127_130546_r2_0_UGG', '20130202_115047_r2_0_ZKK', '20130204_123212_r2_0_IRL', '20130205_120309_r2_1_EAN', '20130209_214433_r2_3_UON', '20130216_214040_r2_4_KGN', '20130217_125235_r2_6_HDY', '20130309_130856_r2_5_PYN', '20130309_212832_r2_5_NNZ', '20130310_124043_r2_5_FBF', '20130310_205845_r2_5_AJR', '20130312_214029_r2_8_SMH', '20130316_130501_r2_4_YJG', '20130317_123556_r2_5_BNQ', '20130317_205503_r2_5_MEZ', '20130323_130115_r2_5_QOU', '20130324_123127_r2_2_LSI', '20130324_205051_r2_5_RBL', '20130326_213204_r2_11_BAI', '20130330_125702_r2_5_BAV', '20130331_122758_r2_5_XSA', '20130331_204641_r2_5_ZZF', '20130403_124051_r2_9_RMD', '20130405_214032_r2_7_KCG', '20130406_211113_r2_3_XNO', '20130407_204233_r2_5_AHR', '20130409_112514_r2_1_EUQ', '20130409_130448_r2_0_EEI', '20130411_220504_r2_9_FKP', '20130414_121915_r2_2_UWF', '20130414_203826_r2_2_NST', '20130414_221851_r2_0_HGA', '20130416_130136_r2_0_BTM', '20130417_123216_r2_0_SZS', '20130420_124421_r2_0_FLG', '20130421_121505_r2_0_ECA', '20130421_203409_r2_0_YNL', '20130421_221331_r2_0_YLJ', '20130423_125721_r2_0_MKB', '20130424_122805_r2_0_FEE', '20130427_123958_r2_0_LIU', '20130428_203006_r2_2_CPZ', '20130428_221021_r2_0_VFR', '20130501_122413_r2_0_SBT', '20130505_120654_r2_0_YZR', '20130505_220535_r2_6_GZG', '20130508_122002_r2_6_VVD', '20130512_120247_r2_4_RMC', '20130512_220124_r2_8_IIG', '20130515_121555_r2_6_SSF', '20130519_115840_r2_2_DKP', '20130519_215651_r2_7_VHV', '20130522_121144_r2_7_ALH', '20130526_115422_r2_2_NNX', '20130526_215310_r2_2_WCL', '20130529_120623_r2_0_GPE', '20130601_121949_r2_6_GUA', '20130601_221814_r2_2_JKM', '20130602_115011_r2_1_VKG', '20130602_214908_r2_1_ZXR', '20130608_221328_r2_10_MGH', '20130609_114600_r2_1_DXO', '20130609_214508_r2_2_RMB', '20130610_211512_r2_1_NJG', '20130615_220959_r2_2_AJG', '20130616_214050_r2_1_UYZ', '20130622_220538_r2_4_EEJ', '20130623_213636_r2_3_CNW', '20130630_213210_r2_8_GSC', '20130701_210242_r2_2_FIM', '20130702_221420_r2_2_DSG', '20130703_214445_r2_6_XIT', '20130704_125742_r2_5_ORQ', '20130704_211543_r2_2_ZLO', '20130706_215737_r2_2_UGM', '20130707_212832_r2_3_ALG', '20130708_205850_r2_2_QXS']"
XBU,"['20121118_120653_r2_7_XBU', '20121125_220204_r2_6_AMI', '20121202_115829_r2_6_YQM', '20121202_215654_r2_13_UWN', '20121209_215312_r2_8_JPA', '20121216_115007_r2_6_BOT', '20121216_214909_r2_6_BDC', '20121222_221357_r2_12_LFM', '20121223_214523_r2_2_ZRJ', '20121229_121118_r2_2_HLV', '20121229_220951_r2_2_ONJ', '20130105_220505_r2_5_VGA', '20130106_213629_r2_5_UUQ', '20130113_113326_r2_4_QHA', '20130119_215733_r2_2_RCI', '20130120_130948_r2_5_IWY', '20130120_212803_r2_5_HPD', '20130126_115455_r2_5_CGX', '20130127_130546_r2_6_YJH', '20130202_115047_r2_6_NQR', '20130204_123212_r2_5_NCR', '20130205_120309_r2_6_AAJ', '20130216_214040_r2_12_UGU', '20130217_125235_r2_13_DVD', '20130309_212832_r2_8_GEN', '20130310_124043_r2_7_KLQ', '20130310_205845_r2_7_LUU', '20130312_214029_r2_10_ILL', '20130316_130501_r2_6_ZCD', '20130317_123556_r2_7_ZZY', '20130317_205503_r2_7_EFN', '20130323_130115_r2_7_QZA', '20130324_123127_r2_4_IBK', '20130324_205051_r2_7_AWL', '20130326_213204_r2_13_TLJ', '20130330_125702_r2_7_BEC', '20130331_122758_r2_7_FMZ', '20130331_204641_r2_7_GSR', '20130403_124051_r2_11_DFS', '20130405_214032_r2_9_JDD', '20130406_211113_r2_5_MKL', '20130407_204233_r2_7_NJJ', '20130409_112514_r2_3_OHW', '20130409_130448_r2_2_UQX', '20130411_220504_r2_11_ZBM', '20130414_121915_r2_4_RMG', '20130414_203826_r2_4_CXL', '20130416_130136_r2_2_KYZ', '20130417_123216_r2_2_VXW', '20130420_124421_r2_2_EFO', '20130421_121505_r2_2_OLZ', '20130421_203409_r2_2_CFX', '20130421_221331_r2_2_GPV', '20130423_125721_r2_2_BXF', '20130424_122805_r2_2_HIR', '20130427_123958_r2_2_QES', '20130428_203006_r2_4_RML', '20130428_221021_r2_2_QUB', '20130501_122413_r2_2_AWY', '20130505_120654_r2_2_ONF', '20130505_220535_r2_8_RAJ', '20130508_122002_r2_8_VJM', '20130512_120247_r2_6_DGG', '20130512_220124_r2_10_VXF', '20130515_121555_r2_8_EBL', '20130519_115840_r2_4_FYS', '20130519_215651_r2_9_WZV', '20130522_121029_r2_0_UZX', '20130526_115422_r2_10_DHY', '20130526_215310_r2_7_OLS', '20130529_120623_r2_4_QQI', '20130601_121949_r2_10_UBB', '20130602_115011_r2_4_GNX', '20130602_214908_r2_4_PBF', '20130608_221328_r2_13_OVA', '20130609_114600_r2_4_NNA', '20130609_214508_r2_5_ZBD', '20130610_211512_r2_4_INQ', '20130615_220959_r2_5_OKQ', '20130616_214050_r2_4_OBZ', '20130622_220538_r2_7_QTD', '20130623_213636_r2_6_IJF', '20130630_213210_r2_11_JFJ', '20130701_210242_r2_4_QJD', '20130702_221420_r2_4_JEH', '20130704_211543_r2_4_ZQC', '20130706_215737_r2_4_HBT', '20130707_212832_r2_5_XLF', '20130708_205850_r2_4_ZVX']"
